orden_publica,total,descripcion_anunciante,campania,rubro,nombre_o_denominacion_proveedor,medio,tipo_de_orden,periodo
2016_00455,246.0,Ministerio de Justicia y Derechos Humanos,Legal Enero,Grafica,Grupo Gg S.R.L.,NUEVO DIARIO,DA 448-09,2016-01-01
2016_00428,492.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Grupo Gg S.R.L.,NUEVO DIARIO,DA 448-09,2016-01-01
2016_00113,683.69,Ministerio de Salud,Legal Enero,Grafica,El Diario S.R.L.,EL DIARIO,DTO 852-14,2016-01-01
2016_00409,714.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Jakstas Silvana Paola,EL ALBA,DA 448-09,2016-01-01
2016_00452,740.52,Ministerio de Justicia y Derechos Humanos,Legal Enero,Grafica,Ediam S.A.,EL DIARIO DEL FIN DEL MUNDO,DA 448-09,2016-01-01
2016_00177,790.4,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,Empresa Periodist. Grafis Srl,LA CAMPANA,DA 448-09,2016-01-01
2016_00344,881.22,Nacion Leasing S.A.,Legal Enero,Grafica,S.A. la Nacion,LA NACION,DA 562-10,2016-01-01
2016_00384,902.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Grupo Gg S.R.L.,NUEVO DIARIO,DA 448-09,2016-01-01
2016_00186,903.31,Direccion Nacional de Vialidad,Legal Enero,Grafica,Diario la Union S.A.,LA UNION,DA 448-09,2016-01-01
2016_00374,945.0,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Jakstas Silvana Paola,EL ALBA,DA 448-09,2016-01-01
2016_00333,961.01,Nacion Leasing S.A.,Legal Enero,Grafica,Arte Grafico Editorial Arg. Sa,CLARIN,DA 562-10,2016-01-01
2016_00178,1016.23,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,Empresa Periodist. Grafis Srl,LA CAMPANA,DA 448-09,2016-01-01
2016_00296,1110.25,Banco de la Nacion Argentina,Legal Enero,Grafica,Editorial la Capital S.A.,LA PRENSA,DA 562-10,2016-01-01
2016_00331,1121.17,Banco de la Nacion Argentina,Legal Enero,Grafica,Arte Grafico Editorial Arg. Sa,CLARIN,DA 562-10,2016-01-01
2016_00346,1133.0,Banco de la Nacion Argentina,Legal Enero,Grafica,S.A. la Nacion,LA NACION,DA 562-10,2016-01-01
2016_00371,1150.05,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Grafica,Acosta A.Ferrarini M.Rubens Ro,EL COLONO DEL OESTE,DA 448-09,2016-01-01
2016_00345,1258.88,Banco de la Nacion Argentina,Legal Enero,Grafica,S.A. la Nacion,LA NACION,DA 562-10,2016-01-01
2016_00332,1281.34,Banco de la Nacion Argentina,Legal Enero,Grafica,Arte Grafico Editorial Arg. Sa,CLARIN,DA 562-10,2016-01-01
2016_00459,1333.01,I.N.S.S.J.P. (Pami),Legal Enero,Grafica,El Heraldo S.R.L.,EL HERALDO,DA 448-09,2016-01-01
2016_00621,1339.8,Ministerio de Salud,Campaña Dengue 2016 - Ministerio de Salud,Radio,Bracone Roberto Orlando,AM 950,DTO 1145-09,2016-01-01
