ord_pub,total_neto,total_con_iva,descripcion_anunciante,campania,rubro,codigo_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,tipo_de_orden,periodo,es_canje
2018_07623,6567.78,6731.97,I.N.S.S.J.P. (Pami),Aviso Legal,Grafica,11766,CANTOS JOSE MARIA HIJO,NUEVO DIARIO,Santiago del Estero,RES 617-E/2016,jun-18,no
2018_07610,17452.71,17889.03,Ministerio de Justicia y Derechos Humanos,Aviso Legal,Grafica,11247,PUBLIEXITO S.A.,EL PLATA INFORMADOR,Buenos Aires,DTO 852-14,jun-18,si
2018_07609,196990.56,238358.58,Ministerio de Justicia y Derechos Humanos,Aviso Legal,Grafica,14135,SELENE PUBLICIDAD S.A.,EL CRONISTA COMERCIAL,Capital Federal,DA 448-09,jun-18,no
2018_07608,16272.0,16678.8,Ministerio de Justicia y Derechos Humanos,Aviso Legal,Grafica,12777,BAE NEGOCIOS S.A.,BAE,Capital Federal,DTO 852-14,jun-18,si
2018_07577,43982.4,53218.7,I.N.S.S.J.P. (Pami),Aviso Legal,Grafica,11303,EDITORIAL LA PAGINA S.A.      ,PAGINA 12,Capital Federal,RES 617-E/2016,jun-18,no
2018_07576,2880.0,2952.0,I.N.S.S.J.P. (Pami),Aviso Legal,Grafica,11799,DIARIOS BONAERENSES S.A.      ,LA VOZ DE BRAGADO,Buenos Aires,RES 617-E/2016,jun-18,no
2018_07572,63974.4,77409.02,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,11303,EDITORIAL LA PAGINA S.A.      ,PAGINA 12,Capital Federal,DA 562-10,jun-18,no
2018_07573,77209.92,93424.0,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,14135,SELENE PUBLICIDAD S.A.,EL CRONISTA COMERCIAL,Capital Federal,DA 562-10,jun-18,no
2018_07578,54704.23,66192.12,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,13920,IMPREBA S.A.                  ,DIARIO POPULAR,Capital Federal,DA 562-10,jun-18,no
2018_07574,75572.76,91443.04,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,11112,S.A. LA NACION                ,LA NACION,Capital Federal,DA 562-10,jun-18,no
2018_07575,86368.87,104506.33,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,11112,S.A. LA NACION                ,LA NACION,Capital Federal,DA 562-10,jun-18,no
2018_07579,136760.58,165480.3,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Aviso Legal,Grafica,13920,IMPREBA S.A.                  ,DIARIO POPULAR,Capital Federal,DA 562-10,jun-18,no
