ord_pub,total_neto,total_con_iva,descripcion_anunciante,campania,rubro,no_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,tipo_de_orden,periodo
2016_09337,5500.00,6655.00,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Campaña Institucional Ahorro del Agua - Aysa,Radio,13592,DEVICOM S.A.,FM 95.5 CONCEPTO,Capital Federal,DA 562-10,jul-16
2016_09394,5000.00,6050.00,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Campaña Institucional Ahorro del Agua - Aysa,Radio,15106,LOPEZ PABLO OMAR,AM 1030 RADIO DEL PLATA,Capital Federal,DA 562-10,jul-16
2016_09067,30000.00,36300.00,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Web,13754,MISIONES ONLINE COM S.R.L.,WWW.MISIONESONLINE.NET,Misiones,DA 562-10,jul-16
2016_09507,5000.00,5000.00,Aysa - Agua y Saneamientos Argentinos Sociedad Anonima,Campaña Institucional Ahorro del Agua - Aysa,Web,17557,PAVESIO LUIS ALBERTO,WWW.NOTICIASAMBIENTALES.COM.AR,Capital Federal,DA 562-10,jul-16
2016_09816,10299.96,10557.46,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,14228,COOP.DE TRAB.Y CONS. LA PRENSA,EL DIARIO DE LA REGION,Chaco,DA 448-09,jul-16
2016_08944,5740.00,5740.00,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Radio,18255,PATAGONIA NET S.A.,FM 96.9 TRELEW NOTICIAS,Chubut,DTO 852-14,jul-16
2016_10622,116600.00,141086.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,11013,RED CELESTE Y BLANCA S.A.,AM 910 LA RED,Capital Federal,DA 448-09,jul-16
2016_09199,10000.00,12100.00,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion - Gripe A - Pami,Web,16543,LOPEZ DANIEL HORACIO,WWW.DIARIODECULTURA.COM.AR,Capital Federal,DA 448-09,jul-16
2016_10573,13600.00,13600.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,18083,MEZZA LUIS GUILLERMO,FM 101.7 GAMBA RIO IV,Cordoba,DA 448-09,jul-16
2016_19455,450000.00,450000.00,Pellegrini S.A. Gerente de Fondos Comunes de Inversion,Patrocinio Teatro Colon / Temporada 2016 - Pellegrini Fci,Sponsoreo,18553,TEATRO COLON MUNICIPALIDAD CDAD DE BSAS,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_08287,1450000.00,1754500.00,Banco de la Nacion Argentina,"B.N.A. / Auspicio Exposicion Rural 16 - 130 Exposicion de Ganaderia,Agricultura E Industria Internacional",Sponsoreo,13359,LA RURAL S. A.,Exposición Rural 2016.,Buenos Aires,DA 562-10,jul-16
2016_08515,66585.60,68250.24,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Grafica,11091,EDITORIAL FUNDAMENTO S.A.,PUNTAL,Cordoba,DA 562-10,jul-16
2016_09147,15000.00,18150.00,I.N.S.S.J.P. (Pami),Campaña Institucional Vacunacion - Gripe A - Pami,Radio,15106,LOPEZ PABLO OMAR,FM 95.5 CONCEPTO,Capital Federal,DA 448-09,jul-16
2016_02956,89000.00,107690.00,Banco de la Nacion Argentina,Campaña Tarjeta Nativa - Carteles en Mendoza / Banco de la Nacion Argentina,Sponsoreo,16959,LALUCOM S.A.,ACCIONES PUBLICITARIAS - VARIAS,,DA 562-10,jul-16
2016_09738,250000.00,302500.00,Banco de la Nacion Argentina,Bna - Sponsor Campeonato Top Race,Sponsoreo,18566,AUTOMOVILISMO DEPORTIVO S. A.,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_09110,8355.84,8564.74,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,11103,EDITORIAL JORNADA S.A.,JORNADA,Chubut,DTO 852-14,jul-16
2016_11077,7761.60,8576.57,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia - Trata de Personas,Grafica,11047,LA REFORMA S.R.L.,LA REFORMA,La Pampa,DTO 852-14,jul-16
2016_09930,250000.00,302500.00,Banco de la Nacion Argentina,Bna - Sponsor Campeonato Top Race,Sponsoreo,18566,AUTOMOVILISMO DEPORTIVO S. A.,AUSPICIO DE EVENTO Y/O ENTIDAD,Capital Federal,DA 562-10,jul-16
2016_08666,31073.28,34335.97,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Grafica,11091,EDITORIAL FUNDAMENTO S.A.,PUNTAL,Cordoba,DTO 852-14,jul-16
2016_09441,53091.00,64240.11,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Tv,15672,UNOMEDIOS S.A.,CANAL 8,San Juan,DA 562-10,jul-16
2016_08531,1817229.96,2198848.25,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Grafica,11508,DIARIO LOS ANDES HNOS CALLE SA,LOS ANDES,Mendoza,DA 562-10,jul-16
2016_08312,14250.00,17242.50,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Radio,16578,RADIO Y TELEVISION ARGENT. SE,AM 630 LU 4 RADIO PATAGONIA,Chubut,DA 562-10,jul-16
2016_08342,5530.00,6691.30,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Radio,17624,EMPRESA PERIODIST. GRAFIS SRL,LV 26 AM 1430,Cordoba,DA 562-10,jul-16
2016_08688,79315.20,95971.39,Banco de la Nacion Argentina,Creditos Hipotecarios - B.N.A.,Tv,15672,UNOMEDIOS S.A.,CANAL 8,San Juan,DA 562-10,jul-16
2016_22294,482138.76,583387.90,Presidencia de la Nacion,Bicentenario - Presidencia de la Nacion,Redes,17104,GOOGLE ARGENTINA S.R.L.,WWW.GOOGLE.COM.AR,Capital Federal,DA 448-09,jul-16
2016_10777,15000.00,15000.00,Presidencia de la Nacion,Presidencia de la Nacion - Devolucion de Iva,Radio,15869,SIGLO XXI S.R.L.,FM 103.7 VALE,Tucuman,DA 448-09,jul-16
