rubro,codigo_proveedor,nombre_o_denominacion_proveedor,medio,provincia_medio,descripcion_anunciante,campania,periodo,tipo_de_orden,ord_pub,total_neto,total_con_iva,es_canje
Cable,11003,CABLEVISION S.A.,CANAL SOMOS,Buenos Aires,Secretaria de Energia,Ministerio de Energia y Mineria - Difusion de Ahorro y Eficiencia Energetica - Gas,2017-07-01,DA 448-09,2017_23710,81627.0,98768.67,no
Cable,11160,TELEARTE S.A.,CANAL 9 SATELITAL,Buenos Aires,I.N.S.S.J.P. (Pami),Pami - Vacunacion Antigripal 2017,2017-07-01,DA 448-09,2017_20645,283875.0,343488.75,no
Cable,11003,CABLEVISION S.A.,CANAL SOMOS,Buenos Aires,Secretaria de Energia,Ministerio de Energia y Mineria - Difusion de Ahorro y Eficiencia Energetica - Gas,2017-07-01,DA 448-09,2017_23709,214714.5,259804.55,no
Cable,16265,MINNIG GUSTAVO,CANAL 15 - CABLEVISION,Buenos Aires,Nucleoelectrica Argentina S.A.,Nasa - Energia Que Une,2017-07-01,DA 448-09,2017_20013,6000.0,7260.0,no
Cable,17344,QM NOTICIAS S.A.,QM NOTICIAS,Buenos Aires,Presidencia de la Nacion,Presidencia de la Nacion - Haciendo Lo Que Hay Que Hacer,2017-07-01,DA 448-09,2017_24313,35280.0,42688.8,no
Cable,17344,QM NOTICIAS S.A.,QM NOTICIAS,Buenos Aires,Secretaria de Energia,Ministerio de Energia y Mineria - Difusion de Ahorro y Eficiencia Energetica - Gas,2017-07-01,DA 448-09,2017_23707,121680.0,147232.8,no
Cable,17469,PROSICOM NECOCHEA S.A.,CANAL 4,Buenos Aires,Secretaria de Energia,Ministerio de Energia y Mineria - Difusion de Ahorro y Eficiencia Energetica - Gas,2017-07-01,DA 448-09,2017_23733,36250.5,43863.11,no
Cable,18812,GRUPO M 3 S.A,CANAL METRO,Capital Federal,I.N.S.S.J.P. (Pami),Pami - Vacunacion 2017,2017-07-01,DA 448-09,2017_25073,10000.0,12100.0,no
Cable,17731,CARSTV S.R.L.,FOX SPORTS 2,Capital Federal,Presidencia de la Nacion,Presidencia de la Nacion - Haciendo Lo Que Hay Que Hacer,2017-07-01,DA 448-09,2017_25065,8378.0,10137.38,no
Cable,17731,CARSTV S.R.L.,FOX SPORTS 3,Capital Federal,Presidencia de la Nacion,Presidencia de la Nacion - Haciendo Lo Que Hay Que Hacer,2017-07-01,DA 448-09,2017_25066,7344.0,8886.24,no
